epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,7273.82,0.56559,0.57049,1.13033,0.88895,0.76447,0.81811,0.75801,0.78452,0.64971,1.60313,0.00208,0.00208,0.00208
82,7365.34,0.56593,0.57109,1.13154,0.88882,0.76452,0.81805,0.7573,0.7868,0.64627,1.60827,0.001981,0.001981,0.001981
83,7456.91,0.55854,0.56525,1.12622,0.88828,0.76382,0.81846,0.75778,0.78542,0.64275,1.60255,0.001882,0.001882,0.001882
84,7548.26,0.56368,0.56832,1.13098,0.88771,0.7638,0.81855,0.75725,0.78382,0.64425,1.59987,0.001783,0.001783,0.001783
85,7640.25,0.55452,0.55397,1.11736,0.8879,0.76389,0.81834,0.7581,0.78423,0.6489,1.60082,0.001684,0.001684,0.001684
86,7731.89,0.55502,0.55621,1.12359,0.88574,0.76331,0.81919,0.75784,0.78518,0.64973,1.60389,0.001585,0.001585,0.001585
87,7823.75,0.54958,0.55068,1.11911,0.88352,0.76273,0.8187,0.75817,0.78381,0.65652,1.59766,0.001486,0.001486,0.001486
88,7915.5,0.54848,0.5397,1.11905,0.8816,0.7626,0.81922,0.75773,0.7792,0.65727,1.5884,0.001387,0.001387,0.001387
89,8006.9,0.54909,0.53976,1.12216,0.88056,0.76102,0.81919,0.75874,0.7787,0.65561,1.58687,0.001288,0.001288,0.001288
90,8098.37,0.54639,0.54119,1.11523,0.8798,0.76155,0.81919,0.75716,0.77944,0.65354,1.59089,0.001189,0.001189,0.001189
91,8213.48,0.40273,0.25884,1.01866,0.87859,0.76212,0.82005,0.75832,0.77886,0.65417,1.59116,0.00109,0.00109,0.00109
92,8303.64,0.395,0.24899,1.00927,0.87842,0.76281,0.82047,0.75921,0.77766,0.65655,1.58544,0.000991,0.000991,0.000991
93,8394.11,0.39056,0.24682,1.00552,0.87765,0.76324,0.81964,0.75861,0.77686,0.65332,1.58426,0.000892,0.000892,0.000892
94,8484.73,0.38518,0.23861,1.00333,0.87835,0.7629,0.81996,0.75912,0.7761,0.65311,1.58405,0.000793,0.000793,0.000793
95,8575.47,0.38644,0.24159,1.00296,0.87879,0.76258,0.81852,0.75691,0.7779,0.65205,1.58799,0.000694,0.000694,0.000694
96,8665.98,0.38165,0.23475,0.99611,0.87894,0.76179,0.81828,0.75719,0.77766,0.65189,1.58804,0.000595,0.000595,0.000595
97,8756.5,0.37427,0.22855,0.99309,0.87961,0.76256,0.81799,0.75676,0.77763,0.65222,1.58868,0.000496,0.000496,0.000496
98,8847.01,0.37167,0.22927,0.98704,0.87851,0.76288,0.8179,0.75644,0.77778,0.65151,1.59124,0.000397,0.000397,0.000397
99,8937.64,0.36879,0.22506,0.98555,0.87772,0.76294,0.81796,0.7575,0.77726,0.65176,1.59447,0.000298,0.000298,0.000298
100,9028.17,0.36579,0.22273,0.98142,0.87656,0.76303,0.8177,0.75799,0.77672,0.6513,1.59499,0.000199,0.000199,0.000199
